Ga0004748_15	1731562	1732755	136,65,157
Ga0004748_11	298427	299917	0, 1, 205
Ga0004748_11	300051	301733	0, 1, 205
Ga0004748_12	323272	324849	0, 1, 205
Ga0004748_11	522976	524343	0, 1, 205
Ga0004748_11	2011552	2012550	0, 1, 205
Ga0004748_15	2359752	2361158	0, 1, 205
Ga0004748_12	61090	61884	0, 1, 205
Ga0004748_11	1259342	1260328	0, 1, 205
Ga0004748_11	1882261	1883250	0, 1, 205
Ga0004748_15	2364584	2365090	0, 1, 205
Ga0004748_11	1901748	1902623	0, 1, 205
Ga0004748_12	202157	203608	0, 1, 205
Ga0004748_15	1664277	1665215	0, 1, 205
Ga0004748_11	536216	537628	0, 1, 205
Ga0004748_11	544017	545438	0, 1, 205
Ga0004748_12	219302	220723	0, 1, 205
Ga0004748_15	2348985	2349299	0, 1, 205
Ga0004748_15	2361398	2362258	0, 1, 205
Ga0004748_11	534891	536219	0, 1, 205
Ga0004748_12	24502	25410	0, 1, 205
Ga0004748_11	1778464	1779378	0, 1, 205
Ga0004748_15	1665235	1666527	0, 1, 205
Ga0004748_11	1287826	1290231	0, 1, 205
Ga0004748_15	2225165	2225488	0, 1, 205
Ga0004748_15	2136803	2137981	0, 1, 205
Ga0004748_11	635969	636940	0, 1, 205
Ga0004748_15	2344071	2345585	0, 1, 205
Ga0004748_11	130623	132062	0, 1, 205
Ga0004748_11	719851	720873	0, 1, 205
Ga0004748_11	1965468	1966445	0, 1, 205
Ga0004748_15	2364045	2364587	0, 1, 205
Ga0004748_11	2022715	2023035	0, 1, 205
Ga0004748_15	1703434	1704627	0, 1, 205
Ga0004748_15	2183563	2184783	0, 1, 205
Ga0004748_11	748131	748520	0, 1, 205
Ga0004748_11	1274515	1275045	0, 1, 205
Ga0004748_11	42065	42625	0, 1, 205
Ga0004748_15	1823343	1824929	0, 1, 205
Ga0004748_11	715206	716255	0, 1, 205
Ga0004748_11	653223	654497	0, 1, 205
Ga0004748_11	504933	506192	0, 1, 205
Ga0004748_11	2009273	2010472	0, 1, 205
Ga0004748_15	1851775	1853124	0, 1, 205
Ga0004748_15	2362525	2364033	0, 1, 205
Ga0004748_11	701025	701273	0, 1, 205
Ga0004748_11	833183	833917	0, 1, 205
Ga0004748_15	2354337	2354705	0, 1, 205
Ga0004748_11	1380139	1380786	0, 1, 205
Ga0004748_11	1457389	1458849	0, 1, 205
Ga0004748_11	1275063	1275752	0, 1, 205
Ga0004748_13	191219	192349	0, 1, 205
Ga0004748_11	2007878	2009257	0, 1, 205
Ga0004748_11	1273020	1274495	0, 1, 205
Ga0004748_11	1269347	1273030	0, 1, 205
Ga0004748_11	655240	656721	0, 1, 205
Ga0004748_11	55468	56463	0, 1, 205
Ga0004748_15	2347092	2348954	0, 1, 205
Ga0004748_15	1853114	1854142	0, 1, 205
Ga0004748_11	386911	388188	0, 1, 205
Ga0004748_15	2066895	2067845	0, 1, 205
Ga0004748_11	1451014	1452135	0, 1, 205
Ga0004748_15	2353828	2354346	0, 1, 205
Ga0004748_15	2352362	2353831	0, 1, 205
Ga0004748_15	2359330	2359731	0, 1, 205
Ga0004748_11	1981099	1982025	0, 1, 205
Ga0004748_11	735433	735945	0, 1, 205
Ga0004748_11	2010500	2011534	0, 1, 205
Ga0004748_11	624762	625826	0, 1, 205
Ga0004748_13	48571	50238	0, 1, 205
Ga0004748_15	2261975	2263192	0, 1, 205
Ga0004748_12	346834	349083	0, 1, 205
Ga0004748_15	2345593	2347095	0, 1, 205
Ga0004748_11	385298	386887	0, 1, 205
Ga0004748_13	24668	25651	0, 1, 205
Ga0004748_11	1185107	1186108	0, 1, 205
Ga0004748_11	275883	276875	0, 1, 205
Ga0004748_11	2048140	2049069	0, 1, 205
Ga0004748_11	506326	509193	0, 1, 205
Ga0004748_15	1676961	1678199	0, 1, 205
